"decimallatitude" "decimallongitude" "year" "month" "depth" "measurementvalue" "scientificname" "worms_id" "taxonrank" "measurementunit"
-64.3595 -53.0063 2011 1 1 1.756210159068 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-63.8768 -56.0916 2011 1 1 1.80919934438503 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-63.4015 -56.7938 2011 1 1 1.85402737517576 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-62.0385 -49.529 2011 1 1 1.93796752393634 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-60.2287 -60.6476 2011 1 1 1.88853689441022 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-57.7338 -67.1084 2011 1 1 2.55207162702238 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-54.3739 -65.1342 2010 12 1 2.75557944950768 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-47.1863 -58.2902 2010 12 1 2.4795355354748 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-44.5342 -52.455 2010 12 1 3.20650545423281 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-40.6511 -52.182 2010 11 1 3.70195865676109 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-39.6466 -76.9634 2011 2 1 3.56691602807842 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-35.1728 26.2868 2010 7 1 2.15530707934468 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-34.9449 17.9189 2010 7 1 3.42278318401263 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-34.161 -73.0995 2011 2 1 3.03439078162165 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-34.0614 -73.1066 2011 3 1 3.26521564300547 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-33.6895 -71.998 2011 2 1 2.17106193802357 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-32.7971 -87.0693 2011 3 1 3.44811622422498 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-32.2401 17.7103 2010 9 1 3.41232170371087 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-31.4328 -93.9583 2011 3 1 3.06036520050532 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-31.0266 4.665 2010 9 1 3.36526643593493 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-30.1367 -43.2899 2010 11 1 3.50030735161784 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-29.7238 -101.1604 2011 3 1 3.33891218322207 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-29.5019 37.9889 2010 7 1 3.16708188954711 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-28.1698 -107.3833 2011 3 1 3.3114980981933 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-25.8051 -111.7202 2011 4 1 3.3679246924444 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.2811 -129.3947 2011 6 1 3.43324228105619 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.2329 -134.9606 2011 6 1 3.46505582974773 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.2317 -134.9611 2011 6 1 3.53777326052702 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.1595 -134.9236 2011 6 1 3.59542507811099 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.1571 -135.018 2011 7 1 3.78301283338946 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.1108 -134.9327 2011 6 1 3.63193127200507 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.073 -135.018 2011 7 1 3.49815465784271 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.0244 -134.9228 2011 7 1 3.2736542128274 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-23.0242 -134.9232 2011 7 1 3.4707686568952 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-22.3368 40.3412 2010 7 1 3.03329825617663 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-21.5043 54.3563 2010 5 1 3.11386139378635 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-21.4966 56.9011 2010 5 1 3.25389082418719 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-21.146 -104.787 2011 4 1 3.44325389090771 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-20.9354 -35.1803 2010 10 1 3.37779870952948 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-20.4091 -3.1759 2010 9 1 3.39914621570422 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-17.4174 42.2547 2010 6 1 3.20642651094537 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-17.0248 42.7401 2010 6 1 3.07771503352367 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-16.9601 -100.6335 2011 5 1 3.07357575269803 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-16.957 53.9801 2010 5 1 3.20566787160562 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-13.0833 46.971 2010 5 1 3.08563032887836 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-13.0023 -95.9759 2011 4 1 2.98531673163882 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-12.807 45.2247 2010 5 1 3.45968623248809 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-11.9873 -151.05 2011 8 1 2.96512451711295 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-9.3 -9.5587 2010 9 1 3.44865517268195 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-9.1504 -140.5216 2011 8 1 3.06727592123339 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-8.9971 -139.1963 2011 7 1 2.92998398109797 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-8.9111 -142.5571 2011 8 1 3.11131700954521 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-8.9068 -140.283 2011 7 1 3.39397470273603 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-8.7789 -17.9099 2010 10 1 3.52600177601627 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-6.6499 -152.4243 2011 8 1 2.89467349866028 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-5.2529 -85.1545 2011 4 1 2.92170906160989 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-2.0133 -84.589 2011 5 1 3.22540223471052 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-0.6625 73.161 2010 4 1 3.49364444461147 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
-0.0283 -84.5862 2011 5 1 3.02359701645716 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
3e-04 -153.6759 2011 9 1 3.19409663797222 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
0.0033 71.6428 2010 4 1 2.63538423147424 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
1.9928 -84.5766 2011 5 1 3.35028181563653 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
4.6599 73.4856 2010 4 1 3.47331853082732 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
6.0001 73.8955 2010 4 1 2.83179531233538 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
6.3332 -102.9432 2011 12 1 3.03949502323675 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
6.4998 -94.9527 2011 12 1 3.22702028859261 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
6.671 -153.0658 2011 9 1 3.20659728323101 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
7.4122 -79.3017 2011 12 1 3.27078697016349 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
9.8481 -80.0454 2011 12 1 3.38700449361468 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
11.2723 -152.3711 2011 9 1 3.10823239948766 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
14.2035 -116.6261 2011 12 1 3.27877352422511 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
14.6059 69.9776 2010 3 1 2.72846765476574 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
17.0854 -118.8913 2011 11 1 3.28059723103701 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
18.5839 66.4727 2010 3 1 3.35044026182377 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
19.0351 64.5638 2010 3 1 2.92958444441316 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
20.8222 63.5133 2010 3 1 3.17548892460928 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
22.7598 -157.9568 2011 9 1 3.33148983472762 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
23.36 37.2183 2010 1 1 3.26954979944296 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
25.6236 -88.45 2012 1 1 2.95113623436985 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
29.6394 -79.5395 2012 1 1 3.17513185114088 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
31.5213 -158.9958 2011 10 1 3.45630757162625 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
31.6948 -64.2489 2012 2 1 3.21892167665995 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
32.7526 -122.0013 2011 10 1 3.59942441398448 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
32.931 -121.8645 2011 10 1 3.47651577794623 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
33.061 -66.5435 2012 2 1 3.21899318738967 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
33.9178 32.8872 2009 12 1 3.1925228854552 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
34.0964 -49.8906 2012 2 1 3.34100259780471 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
34.2116 13.7684 2009 11 1 3.26198817715671 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
34.453 14.9538 2009 11 1 3.33224670136436 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
34.6712 -71.3093 2012 2 1 3.1927012335325 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
35.2698 -127.7268 2011 10 1 3.53477305442161 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
35.7606 14.2522 2009 11 1 3.40163526006653 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
35.9346 -37.3032 2012 3 1 3.29277751251636 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
36.0244 -4.4685 2009 9 1 3.48142044323818 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
36.1375 -28.935 2012 3 1 3.47885910038221 "Shannon MAG level diversity" "shannon" "MAG" "Shannon MAG level diversity"
