"scientificname","worms_id","decimallatitude","decimallongitude","depth","year","month","measurementvalue","measurementunit","taxonrank"
1,"1 1000 coast 2",51.5,150.5,1,"2010",6,1.00809466980495,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",74.5,33.5,1,"2010",6,0.000164353361677486,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",53.5,173.5,1,"2010",6,1.03424862202322e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-20.5,49.5,1,"2010",6,5.70303049692643e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-59.5,49.5,1,"2010",6,4.30596555081085e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-20.5,37.5,1,"2010",6,6.00848302123305e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",4.5,0.5,1,"2010",6,3.05005290786247e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",13.5,-171.5,1,"2010",6,3.66897136773663e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-57.5,-5.5,1,"2010",6,1.95951308508147e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",51.5,170.5,1,"2010",6,7.31558702414062e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",22.5,-66.5,1,"2010",6,1.28292028692144e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-66.5,-99.5,1,"2010",6,2.15569496272818e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-39.5,172.5,1,"2010",6,0.000129017935135604,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-41.5,125.5,1,"2010",6,8.76334752672723e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",13.5,-92.5,1,"2010",6,5.8156893246927e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-59.5,-112.5,1,"2010",6,3.00257712120761e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",25.5,-164.5,1,"2010",6,7.84632954856608e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-48.5,-38.5,1,"2010",6,5.53630090506345e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",39.5,146.5,1,"2010",6,0.000128868250845263,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",73.5,45.5,1,"2010",6,2.77014992625756e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-58.5,98.5,1,"2010",6,8.0109947648085e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-57.5,47.5,1,"2010",6,2.53936173560216e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-15.5,157.5,1,"2010",6,2.220129640414e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",20.5,68.5,1,"2010",6,3.18828195428828e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",72.5,23.5,1,"2010",6,8.96011969974903e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-73.5,-135.5,1,"2010",6,5.34775027606308e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",16.5,-73.5,1,"2010",6,2.28964417775854e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-24.5,-41.5,1,"2010",6,2.2141514474294e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",32.5,-147.5,1,"2010",6,7.96816704423536e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",23.5,-157.5,1,"2010",6,1.75124225409275e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",11.5,-64.5,1,"2010",6,1.84495011368509e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",76.5,-134.5,1,"2010",6,2.63638302083919e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-47.5,162.5,1,"2010",6,2.77782156322394e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",57.5,-176.5,1,"2010",6,8.40037739875634e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-63.5,-94.5,1,"2010",6,3.48826623568078e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",25.5,-167.5,1,"2010",6,5.05303486047026e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-2.5,-22.5,1,"2010",6,1.55427699919207e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-64.5,-136.5,1,"2010",6,4.34267102296112e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-40.5,-165.5,1,"2010",6,6.04783804561413e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-47.5,-19.5,1,"2010",6,3.43849893022597e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-60.5,-78.5,1,"2010",6,0.000219591967744538,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-39.5,20.5,1,"2010",6,0.00010377536027556,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",51.5,-41.5,1,"2010",6,1.84764211098801e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-14.5,56.5,1,"2010",6,5.44978195031038e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-19.5,-37.5,1,"2010",6,0.000167596182788285,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-46.5,-79.5,1,"2010",6,6.71366005150209e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-66.5,9.5,1,"2010",6,6.04717697204232e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-37.5,138.5,1,"2010",6,5.54109944107724e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",8.5,-154.5,1,"2010",6,2.17307307224797e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-51.5,-82.5,1,"2010",6,2.5684312292489e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",41.5,-9.5,1,"2010",6,5.63668260533158e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",53.5,-173.5,1,"2010",6,6.95096234669447e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-0.5,-13.5,1,"2010",6,1.34411881322337e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",56.5,152.5,1,"2010",6,6.62941566062095e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-3.5,79.5,1,"2010",6,0.000142369000635442,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",21.5,-80.5,1,"2010",6,4.70698983887081e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-45.5,116.5,1,"2010",6,1.09414415123262e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-66.5,158.5,1,"2010",6,4.05633578467769e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-34.5,-20.5,1,"2010",6,9.43491688122435e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",39.5,-25.5,1,"2010",6,7.37098195128888e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-57.5,27.5,1,"2010",6,0.00010175692913996,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-44.5,-55.5,1,"2010",6,2.68537287853067e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",0.5,150.5,1,"2010",6,0.000357934795216667,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",46.5,-142.5,1,"2010",6,3.46314995233636e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",29.5,-45.5,1,"2010",6,0.00010284936316742,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-68.5,15.5,1,"2010",6,0.000164783315913081,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",82.5,94.5,1,"2010",6,4.50255243006576e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",12.5,-154.5,1,"2010",6,4.92071197792834e-05,"virtualspecies","virtualspecies"
1,"1 1000 coast 2",-62.5,-80.5,1,"2010",6,2.38411681234382e-05,"virtualspecies","virtualspecies"
