"scientificname","worms_id","decimallatitude","decimallongitude","depth","year","month","measurementvalue","measurementunit","taxonrank"
1,"1 200 null 2",51.5,150.5,1,"2010",6,2.84131452769752,"virtualspecies","virtualspecies"
1,"1 200 null 2",28.5,-122.5,1,"2010",6,6.96255721910593e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",53.5,173.5,1,"2010",6,7.44888571151991e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-20.5,43.5,1,"2010",6,2.54576939924523e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-59.5,48.5,1,"2010",6,5.13965708934784e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-27.5,73.5,1,"2010",6,5.56341607519062e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-47.5,99.5,1,"2010",6,2.88290428465278e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",13.5,-171.5,1,"2010",6,4.92473166112963e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-57.5,-6.5,1,"2010",6,0.00017828984892328,"virtualspecies","virtualspecies"
1,"1 200 null 2",51.5,170.5,1,"2010",6,2.31031783037232e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",22.5,-66.5,1,"2010",6,6.660231019098e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",20.5,-141.5,1,"2010",6,2.1566670068007e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-39.5,171.5,1,"2010",6,5.79424761139873e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-41.5,124.5,1,"2010",6,2.2050323061985e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-54.5,-92.5,1,"2010",6,6.83516289520933e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-59.5,-113.5,1,"2010",6,1.88450375540493e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",25.5,-164.5,1,"2010",6,4.60468425481643e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-48.5,-39.5,1,"2010",6,0.000115030204542592,"virtualspecies","virtualspecies"
1,"1 200 null 2",-51.5,73.5,1,"2010",6,3.89102562467487e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",19.5,-150.5,1,"2010",6,4.21702909261818e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",4.5,-137.5,1,"2010",6,0.000120154175581735,"virtualspecies","virtualspecies"
1,"1 200 null 2",-57.5,46.5,1,"2010",6,0.000186218063920295,"virtualspecies","virtualspecies"
1,"1 200 null 2",-31.5,-127.5,1,"2010",6,0.000253819267118564,"virtualspecies","virtualspecies"
1,"1 200 null 2",-60.5,23.5,1,"2010",6,3.45575093955891e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",15.5,64.5,1,"2010",6,2.18477994793801e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",43.5,-169.5,1,"2010",6,7.12939132505436e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",16.5,-73.5,1,"2010",6,6.13992065920755e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-25.5,-110.5,1,"2010",6,0.00011064242700267,"virtualspecies","virtualspecies"
1,"1 200 null 2",32.5,-147.5,1,"2010",6,5.03795395507168e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-68.5,-146.5,1,"2010",6,5.07512701221701e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-52.5,22.5,1,"2010",6,0.000129634984363973,"virtualspecies","virtualspecies"
1,"1 200 null 2",76.5,-134.5,1,"2010",6,5.07924948527041e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-6.5,-128.5,1,"2010",6,7.28465019103478e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-9.5,152.5,1,"2010",6,6.35169709542065e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-63.5,-95.5,1,"2010",6,4.4019801766647e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",25.5,-167.5,1,"2010",6,3.13358343200016e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-2.5,-22.5,1,"2010",6,3.59272055414696e-05,"virtualspecies","virtualspecies"
1,"1 200 null 2",-64.5,-137.5,1,"2010",6,1.1761708174613e-05,"virtualspecies","virtualspecies"
