"scientificname","worms_id","decimallatitude","decimallongitude","depth","year","month","measurementvalue","measurementunit","taxonrank"
1,"1 50 natl 2",-4.5,3.5,1,"2010",6,4.51902779395361e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",75.5,26.5,1,"2010",6,4.64044593172069e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",53.5,173.5,1,"2010",6,0.000176731384261185,"virtualspecies","virtualspecies"
1,"1 50 natl 2",-20.5,43.5,1,"2010",6,1.69164694886614e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",61.5,-9.5,1,"2010",6,2.55750527729346e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",38.5,-52.5,1,"2010",6,3.10454800742052e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",51.5,-30.5,1,"2010",6,6.43035933727974e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",18.5,-49.5,1,"2010",6,4.16603412002806e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",59.5,-25.5,1,"2010",6,0.000114222523318912,"virtualspecies","virtualspecies"
1,"1 50 natl 2",51.5,170.5,1,"2010",6,0.00011313100256435,"virtualspecies","virtualspecies"
1,"1 50 natl 2",22.5,-66.5,1,"2010",6,9.28980449258338e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",14.5,-65.5,1,"2010",6,0.000106826760502646,"virtualspecies","virtualspecies"
1,"1 50 natl 2",45.5,-37.5,1,"2010",6,6.70243241618209e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",47.5,-10.5,1,"2010",6,4.02334086485425e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",56.5,-43.5,1,"2010",6,1.22289275977524e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",60.5,-57.5,1,"2010",6,2.5063894645319e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",25.5,-164.5,1,"2010",6,3.75061206608378e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",51.5,-52.5,1,"2010",6,4.9793227347225e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",54.5,-35.5,1,"2010",6,3.07634483923608e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",15.5,-29.5,1,"2010",6,6.30586691457658e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",23.5,-68.5,1,"2010",6,9.21642768945474e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",59.5,-32.5,1,"2010",6,5.31956961113417e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",40.5,-23.5,1,"2010",6,4.9546731317514e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",61.5,-66.5,1,"2010",6,3.35162573086111e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",15.5,64.5,1,"2010",6,5.79377276401327e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",0.5,-42.5,1,"2010",6,5.6859668545118e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",74.5,53.5,1,"2010",6,1.89797944872905e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",37.5,-50.5,1,"2010",6,1.14357661795513e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",32.5,-147.5,1,"2010",6,5.70108573241904e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",70.5,-6.5,1,"2010",6,6.92943849089751e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",55.5,-21.5,1,"2010",6,3.64006266243846e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",76.5,-134.5,1,"2010",6,4.83238655447662e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",29.5,-29.5,1,"2010",6,4.87353582683531e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",31.5,18.5,1,"2010",6,4.74447111476983e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",64.5,-33.5,1,"2010",6,4.743183020626e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",12.5,-21.5,1,"2010",6,4.16777579682179e-05,"virtualspecies","virtualspecies"
1,"1 50 natl 2",-2.5,-22.5,1,"2010",6,1.08472590444449e-05,"virtualspecies","virtualspecies"
